Gene_set	p-value	q-value
HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_DN	9.885557677536548e-05	0.004989174587645887
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN	0.0002939499679685514	0.007364639285609891
BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_UP	0.0005447773829479405	0.009019092228804794
BILD_MYC_ONCOGENIC_SIGNATURE	0.0005687168128301772	0.009199072655672847
WIERENGA_STAT5A_TARGETS_UP	0.0005601664916724821	0.00917195684167031
REACTOME_PROGRAMMED_CELL_DEATH	0.00039623517588815315	0.008265204605400315
KEGG_ARGININE_AND_PROLINE_METABOLISM	2.5412317736583893e-05	0.0035406734028647366
KEGG_APOPTOSIS	0.00019770203304335404	0.006694909755331762
REACTOME_COLLAGEN_FORMATION	0.0006559214084072818	0.009676464341849999
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_TURQUOISE_UP	0.00029656265579637147	0.007364639285609891
HOFMANN_CELL_LYMPHOMA_DN	3.1942810052895835e-05	0.0035406734028647366
BASSO_CD40_SIGNALING_UP	0.000618926456504099	0.009507220826712449
BRUECKNER_TARGETS_OF_MIRLET7A3_DN	0.00021393981375025022	0.006889665837322087
LIN_NPAS4_TARGETS_DN	0.00013370881617954874	0.005562702554069963
CADWELL_ATG16L1_TARGETS_UP	0.00033152457214164367	0.007736167786892231
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES	0.00013440086707820046	0.005562702554069963
REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY	5.5604776921452055e-06	0.002416251083739651
REACTOME_KERATINIZATION	7.165754592506105e-05	0.0048531701558336806
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	3.5477148420464774e-05	0.0035406734028647366
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.00024335936713690132	0.006956426711552292
